Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vll ab mean,Vll bc mean,Vll ca mean,I a mean,I b mean,I c mean,Vll avg mean,I avg mean
29-01-2023 10:45:00000,0.000000,0.000000,2.101339,6.543288,22857.869,22942.535,22904.889,0.797066,0.607824,0.817966,22901.775,0.740952
29-01-2023 11:00:00000,0.000000,0.000000,1.981314,6.404870,22869.982,22954.654,22917.158,0.785371,0.592491,0.800408,22913.918,0.726090
29-01-2023 11:15:00000,0.000000,0.000000,1.490994,5.832826,22867.131,22950.441,22917.684,0.711940,0.518303,0.724370,22911.773,0.651538
29-01-2023 11:30:00000,0.000000,0.000000,1.592690,5.970003,22884.449,22965.516,22931.994,0.734133,0.536947,0.742163,22927.326,0.671080
29-01-2023 11:45:00000,0.000000,0.000000,2.146820,6.631248,22906.718750,22992.264,22956.187500,0.809026,0.618268,0.827558,22951.732,0.751617
29-01-2023 12:00:00000,0.000000,0.000000,1.993630,6.370453,22869.357,22951.486,22919.211,0.780288,0.590137,0.796105,22913.340,0.722176
29-01-2023 12:15:00000,0.000000,0.000000,2.298451,6.726794,22881.047,22960.518,22929.881,0.828502,0.633164,0.837650,22923.822,0.766438
29-01-2023 12:30:00000,0.000000,0.000000,2.205601,6.630246,22877.988,22957.510,22929.254,0.815468,0.621416,0.829026,22921.578,0.755304
29-01-2023 12:45:00000,0.000000,0.000000,2.477844,7.038102,22917.850,23000.488,22971.209,0.856146,0.666318,0.880946,22963.178,0.801136
29-01-2023 13:00:00000,0.000000,0.000000,2.751784,7.442910,22925.551,23011.908,22983.385,0.890861,0.705982,0.927577,22973.590,0.841473
29-01-2023 13:15:00000,0.000000,0.000000,2.912430,7.415487,22950.494,23035.414,23000.461,0.888241,0.698711,0.913617,22995.463,0.833523
29-01-2023 13:30:00000,0.000000,0.000000,2.910864,7.353835,22938.332,23021.721,22988.098,0.880163,0.706754,0.894391,22982.725,0.827102
29-01-2023 13:45:00000,0.000000,0.000000,2.928859,7.561358,23004.887,23086.293,23052.590,0.905102,0.728325,0.907162,23047.918,0.846863
29-01-2023 14:00:00000,0.000000,0.000000,2.930473,7.569249,23016.609,23098.410,23066.051,0.909116,0.720149,0.913086,23060.355,0.847450
